asset,date,close,sma30,sma50,sma60,sma100,sma120,sma200,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,drawdown
KOSDAQ,2024-11-15,685.42,744.1787,744.5964,749.299,775.642,788.5763,817.7786,92.1042,92.0526,91.4748,88.3681,86.9187,83.8149,-25.1798
KOSDAQ,2024-11-18,689.55,741.531,743.0342,747.686,773.9624,787.2749,817.0279,92.99,92.8019,92.2245,89.0935,87.5869,84.3974,-24.729
KOSDAQ,2024-11-19,686.12,738.368,741.3724,746.1635,772.2969,785.9377,816.2579,92.9239,92.5473,91.953,88.8415,87.2995,84.0568,-25.1034
KOSDAQ,2024-11-20,682.91,735.1903,739.8232,744.4213,770.7108,784.6336,815.4914,92.8889,92.3072,91.737,88.6078,87.0355,83.7421,-25.4538
KOSDAQ,2024-11-21,680.67,732.03,738.8016,742.768,769.0976,783.2392,814.7761,92.9839,92.1316,91.6396,88.5024,86.9045,83.5407,-25.6984
KOSDAQ,2024-11-22,677.01,728.8977,737.8362,741.1603,767.4465,781.7892,813.9749,92.8814,91.7561,91.3446,88.2159,86.5975,83.1733,-26.0979
KOSDAQ,2024-11-25,696.83,726.45,737.641,739.8865,766.0283,780.6091,813.3634,95.9226,94.4674,94.1807,90.9666,89.2675,85.6727,-23.9343
KOSDAQ,2024-11-26,693.15,723.7613,737.2148,738.6592,764.5554,779.4521,812.7348,95.7705,94.0228,93.839,90.6605,88.9279,85.2861,-24.336
KOSDAQ,2024-11-27,692.0,721.3017,736.9308,737.4433,763.0039,778.2189,812.1986,95.9377,93.903,93.8377,90.6942,88.921,85.2008,-24.4616
KOSDAQ,2024-11-28,694.39,718.946,736.6302,736.3082,761.6487,776.9662,811.6769,96.5844,94.2658,94.307,91.1693,89.372,85.55,-24.2007
KOSDAQ,2024-11-29,678.19,716.445,735.5734,735.0107,760.0696,775.5691,810.994,94.6604,92.1988,92.2694,89.2274,87.4442,83.6245,-25.9691
KOSDAQ,2024-12-02,675.84,713.6413,734.4262,733.4803,758.4199,774.1115,810.3333,94.703,92.0229,92.1415,89.1116,87.3053,83.4027,-26.2256
KOSDAQ,2024-12-03,690.8,712.0567,733.452,732.1735,756.853,772.65,809.7521,97.0147,94.1848,94.3492,91.2727,89.4066,85.3101,-24.5926
KOSDAQ,2024-12-04,677.15,709.7887,732.0284,730.7865,755.0318,771.087,809.0783,95.4016,92.5032,92.6604,89.685,87.8176,83.694,-26.0826
KOSDAQ,2024-12-05,670.94,707.667,730.3448,729.773,753.137,769.4418,808.3001,94.8101,91.8662,91.9382,89.086,87.1983,83.0063,-26.7605
KOSDAQ,2024-12-06,661.33,705.4643,728.2244,728.7072,751.1648,767.6973,807.381,93.7439,90.814,90.7539,88.0406,86.1446,81.9105,-27.8095
KOSDAQ,2024-12-09,627.01,701.682,725.5786,727.3808,748.9107,765.6613,806.2495,89.3581,86.4152,86.2011,83.7229,81.8913,77.7687,-31.5559
KOSDAQ,2024-12-10,661.59,698.929,723.2268,726.4997,747.0229,763.9897,805.2614,94.6577,91.4775,91.0654,88.5636,86.5967,82.1584,-27.7811
KOSDAQ,2024-12-11,675.92,696.8533,721.2554,725.995,745.2533,762.4643,804.353,96.996,93.7144,93.1026,90.6967,88.6494,84.0327,-26.2169
KOSDAQ,2024-12-12,683.35,694.863,719.6448,725.5605,743.6907,761.001,803.4774,98.3431,94.9566,94.1824,91.8863,89.7962,85.0491,-25.4058
KOSDAQ,2024-12-13,693.73,693.6857,718.2768,724.9388,742.3339,759.6057,802.6152,100.0064,96.5825,95.695,93.4526,91.3276,86.4337,-24.2727
